symbol,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
NEE-N,32918.0,64304.666666666664,71625.0,48685.73333333333,47048.166666666664
ERX,4575706.0,5125801.333333333,5235320.2,3823766.0,3306340.033333333
CMCT,76877.0,60744.0,63361.6,38552.2,35140.26666666667
VYGG+,3841.0,44799.333333333336,32679.0,27600.533333333333,27351.533333333333
WINV,2424.0,23452.666666666668,82713.6,58727.066666666666,130524.26666666666
GOVZ,32192.0,16003.0,27808.8,28655.8,30690.366666666665
FMS,489719.0,358139.0,476834.2,381093.2,389599.13333333336
CC,1601855.0,1647629.3333333333,1762489.8,1305080.1333333333,1426034.1333333333
ARTW,11859.0,10250.666666666666,10675.6,7611.133333333333,15114.266666666666
SAVE,7988771.0,6703355.0,7006924.0,5487905.8,5232452.133333334
SGC,31901.0,25401.333333333332,28116.8,23372.666666666668,26601.433333333334
VMW,3161155.0,3261243.3333333335,3463221.6,3261474.2,3320899.033333333
PRPL,1307473.0,1337284.0,1340262.0,2028942.7333333334,2070985.5
ITQRW,385.0,328.3333333333333,1478.0,6651.6,8760.633333333333
MTN,294620.0,309214.6666666667,419742.0,298204.2,260878.0
MPX,31201.0,25893.0,31155.0,52697.066666666666,61003.666666666664
QTR,412.0,1973.6666666666667,1914.2,1006.8666666666667,1212.8666666666666
UCON,294769.0,254291.0,226201.4,218140.0,226809.36666666667
TMQ,85178.0,103186.66666666667,175325.0,157412.0,166456.6
BASE,422676.0,861622.3333333334,821464.8,508222.93333333335,392727.73333333334
GSEVU,16327.0,20476.333333333332,17121.6,22127.666666666668,34364.933333333334
PHIC,5857.0,2861.3333333333335,10148.4,15560.933333333332,21023.033333333333
BKAG,14129.0,23491.666666666668,40003.4,24313.8,24565.8
PSA-J,58543.0,67051.66666666667,52588.0,50378.46666666667,62193.2
MO,7029491.0,7885107.0,8669440.0,7604465.066666666,7867157.933333334
MCAEU,4700.0,6667.333333333333,4132.4,1797.6666666666667,2114.1666666666665
SBCF,409273.0,317128.6666666667,291351.8,252768.13333333333,253692.26666666666
MCEF,2532.0,6114.666666666667,4714.4,4751.533333333334,8196.433333333332
ROSE,203893.0,203893.0,203893.0,203893.0,203893.0
WBIT,1995.0,2182.6666666666665,2717.4,1720.4666666666667,2683.3
UFS,3952659.0,1688571.6666666667,1261001.0,772755.8666666667,554019.6666666666
HYLD,16162.0,19199.0,20001.0,22242.333333333332,19954.933333333334
WTFCP,12298.0,10109.333333333334,17176.0,12863.6,12499.533333333333
FDT,24662.0,26940.0,22633.6,24917.4,22856.333333333332
EVX,5924.0,3833.6666666666665,3263.2,2755.133333333333,2908.4333333333334
VIVw,161096.0,117022.66666666667,71434.4,51810.71428571428,51810.71428571428
CAMT,297769.0,275046.6666666667,343165.6,452464.26666666666,334939.4666666667
BITF,10917964.0,10417013.666666666,10687312.2,9807013.6,9815557.466666667
AI,4570831.0,10479645.0,7800450.6,5026956.066666666,3761416.1666666665
USA,1594893.0,2232244.0,1817727.4,1349389.7333333334,1215017.6
ISP.CL,21835.0,47651.666666666664,63926.2,39129.066666666666,41668.045454545456
SPR,1971849.0,2685706.3333333335,2497379.4,2296277.7333333334,1978348.0666666667
AEP,3864720.0,3372081.0,3546641.8,2714489.4,2733341.033333333
AEHA,253002.0,95006.0,78863.6,154359.66666666666,154359.66666666666
NBW,33721.0,34532.666666666664,30073.4,18672.2,13945.733333333334
ENR-A,12157.0,8999.666666666666,10564.0,13515.933333333332,12266.3
NRXP,2514461.0,2740044.6666666665,3748533.0,8268506.933333334,4853661.333333333
UNMA,11420.0,12839.666666666666,22723.2,16895.266666666666,14510.433333333332
AFMC,200.0,104.33333333333333,3136.2,1653.8,889.7333333333333
KLNE,7823.0,8688.666666666666,8722.2,13332.666666666666,17319.166666666668
IRET-B.CL,7980.0,7660.0,8408.2,8107.333333333333,10120.277777777777
HUSN,45594.0,48350.0,44174.4,34071.13333333333,30502.366666666665
POLA,938235.0,721707.6666666666,684476.6,501753.93333333335,1391230.7666666666
XOMA,12232.0,14432.333333333334,16143.8,15382.8,15872.466666666667
SAIC,654785.0,447055.6666666667,380772.6,271419.4,251848.9
CRMD,321668.0,232806.66666666666,200399.6,187325.46666666667,236313.66666666666
DWIN,124393.0,64653.0,42093.4,43113.2,37244.1
THCP,345.0,198.33333333333334,272.0,52550.066666666666,77731.03333333334
UAE,63532.0,36691.0,33646.8,43959.13333333333,26179.3
BFS-C.CL,925.0,1124.0,1268.8,36661.8,50651.35
PWZ,45714.0,65683.66666666667,56853.4,71943.0,71590.2
SITM,357080.0,346459.0,438581.6,599552.0666666667,519396.7
WASH,36816.0,37360.0,48237.6,39550.73333333333,36632.833333333336
INN-C.CL,300.0,1489.3333333333333,1593.6,5978.733333333334,17069.8
CPOP,429607.0,331399.6666666667,264247.0,231815.93333333332,724944.7
